index,totalseconds,Gender,Age,Edu,Marriage,ASC1,ASC2,ASC3,ASC4,ASC5,T1,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,RD1,RD2,RD3,RD4,RD5,T2,POS1,POS2,POS3,POS4,POS5,LS1,LS2,LS3,LS4,LS5,DI1,DI2,DI3,T3,DC1,DC2,DC3,UI1,UI2,UI3,UC1,UC2,UC3,SCD,USC,DSC,totalvalue
4,199,2,35,2,2,5,7,5,4,4,7,5,6,4,5,6,3,4,4,4,1,6,1,1,1,1,1,1,4,3,5,5,1,2,4,6,7,6,5,3,5,5,6,3,5,5,6,3,1,176
5,195,1,27,4,1,7,6,7,5,7,7,6,7,4,5,5,6,6,5,5,7,5,1,4,4,4,4,1,5,5,6,5,6,5,6,6,7,5,4,5,6,6,4,5,5,6,6,6,2,229
10,223,2,22,4,1,4,5,5,4,5,7,4,2,5,4,3,2,5,2,1,4,2,1,1,1,2,1,2,5,4,4,5,2,5,5,6,7,4,5,5,5,6,5,4,5,5,6,4,3,172
11,282,2,40,4,2,6,7,5,7,6,7,5,5,7,6,6,7,5,6,3,5,3,1,5,6,5,6,3,6,5,6,5,6,3,4,3,7,5,3,4,6,5,6,2,6,6,5,6,5,226
12,234,1,32,4,2,6,5,7,5,6,7,6,5,6,7,6,5,3,2,2,3,3,1,2,2,2,4,3,5,2,6,7,3,6,5,7,7,5,6,6,5,7,6,5,7,5,6,5,4,213
13,308,1,26,4,2,5,4,3,5,5,7,5,4,6,3,4,5,5,6,4,3,5,1,2,2,3,3,1,3,4,5,2,3,2,3,2,7,3,5,3,5,3,5,2,1,3,5,3,2,162
14,197,2,31,4,2,6,5,6,5,4,7,5,5,6,5,4,3,5,6,3,5,3,1,5,4,3,3,4,5,5,6,5,5,5,6,5,7,5,6,5,6,5,6,4,5,6,3,5,3,211
15,202,2,34,5,2,4,5,6,3,4,7,5,6,3,6,6,4,5,2,2,4,2,1,2,1,4,2,3,3,2,4,5,3,3,5,6,7,6,5,5,3,5,6,4,6,7,5,5,2,184
16,201,2,25,5,1,5,6,6,4,3,7,5,5,5,4,5,4,6,2,3,4,2,1,2,2,4,5,3,5,3,3,3,2,5,4,4,7,5,5,6,5,5,4,4,5,6,5,5,3,187
17,336,1,36,2,1,2,5,7,5,4,7,3,4,5,6,7,3,6,3,3,3,3,1,3,2,5,5,3,3,3,4,3,1,3,3,3,7,3,4,4,5,5,4,4,5,5,6,4,3,177
18,347,2,34,4,2,6,5,7,5,6,7,2,5,6,5,6,5,6,7,5,6,2,1,5,6,7,5,4,5,6,5,6,5,5,6,5,7,5,6,5,6,5,6,4,5,6,5,6,6,234
19,260,1,37,3,2,1,3,5,2,4,7,2,1,2,6,7,5,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,7,2,3,2,6,6,5,3,1,2,4,1,1,111
20,265,1,32,4,2,7,5,6,6,1,7,6,5,6,5,7,3,2,5,3,7,2,1,5,6,6,3,5,6,5,7,6,6,2,3,3,7,6,5,7,5,5,6,2,3,1,3,4,5,206
21,330,1,30,4,2,5,6,6,5,5,7,6,4,5,6,6,5,6,5,5,6,5,1,6,6,6,6,5,6,5,5,6,5,6,6,6,7,3,3,5,6,6,7,6,2,5,6,5,6,235
22,205,2,34,4,2,3,2,3,3,6,7,2,5,2,2,3,6,1,1,1,2,2,1,1,1,1,1,1,6,5,7,6,6,2,1,1,7,1,1,1,5,5,5,1,1,1,4,3,2,128
23,218,2,25,4,1,5,6,7,5,2,7,6,1,3,4,5,2,7,1,6,2,5,1,3,2,1,6,3,2,3,1,2,3,5,6,4,7,5,6,7,3,2,4,7,6,5,2,4,5,179
24,219,1,45,5,2,3,3,5,3,2,7,3,3,2,4,3,6,3,2,1,3,2,1,3,2,3,4,3,3,3,2,3,2,4,4,4,7,4,5,5,5,4,4,4,4,4,3,3,5,153
26,281,1,30,3,1,6,5,6,4,1,7,7,5,4,6,7,2,5,3,1,4,4,1,4,4,5,4,4,5,4,6,2,1,5,6,7,7,5,7,3,5,4,5,3,7,5,6,5,3,200
27,239,1,27,4,2,3,3,4,3,6,7,3,5,4,4,4,5,5,3,4,4,3,1,3,3,4,3,3,3,4,4,5,3,4,4,4,7,4,3,5,4,4,4,3,4,5,5,4,3,173
28,260,1,26,4,1,6,6,5,6,6,7,6,5,6,5,6,6,6,5,6,5,5,1,6,4,5,5,5,6,5,5,5,6,5,5,5,7,5,5,5,5,5,5,3,3,3,6,4,2,223
30,201,2,26,4,1,3,4,6,2,6,7,2,7,6,4,6,7,2,2,2,5,2,1,4,4,4,3,3,5,5,5,2,4,5,5,5,7,3,6,6,6,6,6,2,2,4,5,5,3,189
31,434,1,38,3,1,2,4,6,2,4,7,1,5,6,5,3,2,5,1,1,2,7,1,3,4,6,7,7,2,3,4,1,2,4,3,5,7,5,6,5,3,2,7,6,1,6,6,5,2,176
32,320,2,33,4,2,1,2,7,1,6,7,1,2,4,4,6,7,4,2,1,4,2,1,1,2,4,3,4,5,4,7,6,7,3,2,3,7,4,4,6,6,7,6,3,1,4,5,3,2,171
33,209,2,22,4,1,3,4,5,5,3,7,6,3,4,5,4,2,3,3,1,4,1,1,3,1,5,2,2,4,4,5,5,3,4,5,4,7,3,5,5,6,6,5,2,3,3,5,4,4,169
34,277,2,47,3,2,1,2,3,4,7,7,3,5,2,1,4,3,6,1,2,5,3,1,5,2,5,1,1,5,3,4,2,1,3,5,6,7,5,6,4,3,7,6,4,5,2,1,2,3,158
35,283,2,27,4,2,3,2,3,2,6,7,2,5,3,2,3,7,1,5,2,5,1,1,5,5,6,7,5,6,7,7,6,5,1,2,1,7,6,5,6,7,6,6,2,3,2,5,5,1,184
39,235,2,33,4,2,7,6,5,4,5,7,6,5,4,5,6,4,4,5,3,5,3,1,5,4,6,5,4,5,4,6,7,4,2,3,2,7,3,1,3,5,6,7,4,5,6,4,5,4,202
40,190,2,32,4,2,6,6,6,6,4,7,4,6,6,5,6,6,4,3,2,3,2,1,1,2,4,2,2,6,5,6,6,6,5,6,4,7,4,5,5,6,6,7,3,3,4,6,4,3,201
41,195,1,19,4,1,4,3,3,2,6,7,1,1,3,4,2,2,4,4,1,2,2,1,1,2,3,2,1,3,2,3,1,1,2,4,4,7,3,2,3,3,1,1,1,1,2,4,2,2,113
42,206,1,35,3,2,4,5,5,6,5,7,5,6,4,6,6,5,6,5,6,5,6,1,6,4,6,5,5,5,4,4,4,5,4,5,5,7,3,5,5,5,5,4,5,4,5,5,4,5,217
43,268,2,25,4,2,2,4,6,3,1,7,1,2,5,5,6,3,2,2,1,3,1,1,1,1,2,1,2,6,5,5,5,3,1,1,1,7,2,2,4,5,6,5,2,1,2,6,2,2,135
44,190,2,32,4,2,3,4,4,2,6,7,3,4,3,4,4,5,3,3,1,4,2,1,3,2,4,3,3,5,5,6,5,5,3,2,2,7,4,3,4,5,5,6,2,2,4,6,5,2,166
45,191,2,28,4,1,2,3,4,3,3,7,4,3,4,3,4,4,3,3,2,2,2,1,2,1,3,4,1,3,3,3,4,1,5,5,5,7,3,4,4,5,5,5,4,4,4,5,5,4,156
46,273,2,38,4,1,5,6,7,6,3,7,2,2,5,5,6,5,7,2,7,1,7,1,2,2,3,7,5,1,3,2,2,1,1,5,6,7,7,7,5,3,2,1,3,7,3,7,5,2,183
47,246,1,20,2,1,6,6,5,4,6,7,4,5,6,5,6,3,6,3,4,3,4,1,2,3,5,5,4,3,3,3,2,1,5,2,5,7,3,5,5,6,5,4,5,4,6,5,5,1,188
48,296,1,22,4,1,5,4,6,5,4,7,5,3,3,3,4,6,7,4,4,2,4,1,3,3,4,6,3,3,3,4,5,2,5,5,5,7,6,7,5,4,6,6,5,5,7,4,3,3,196
49,419,2,28,4,2,7,6,7,4,2,7,6,7,5,7,7,3,5,6,2,4,3,1,4,3,5,4,3,3,5,5,6,1,7,5,7,7,6,7,4,7,6,7,3,7,7,6,7,4,225
50,723,2,22,4,1,7,4,5,3,3,7,5,3,6,4,4,1,5,1,4,1,5,1,2,2,3,4,1,2,2,1,1,1,5,6,5,7,4,5,5,6,6,4,4,5,7,6,5,3,171
51,560,1,36,5,3,5,4,4,3,4,7,4,6,7,6,5,2,5,1,2,2,3,1,2,3,3,4,3,1,2,1,2,1,1,1,1,7,4,5,5,4,5,4,6,6,5,5,2,3,157
52,732,1,30,4,2,6,6,5,6,5,7,5,5,6,3,6,6,6,6,5,6,5,1,6,5,6,5,5,6,6,5,6,5,6,6,5,7,6,5,5,6,5,6,2,6,5,6,6,5,237
53,593,1,39,5,2,6,6,7,7,2,7,6,5,7,7,6,3,7,1,4,3,6,1,1,2,1,6,5,3,2,1,2,3,5,5,6,7,4,5,5,3,3,3,6,7,6,6,7,2,197
54,733,2,28,4,2,6,5,5,4,2,7,5,5,6,5,5,2,5,3,5,2,6,1,2,3,2,5,3,2,2,1,2,1,6,5,5,7,4,5,4,4,5,6,5,4,5,4,3,5,179
55,691,1,28,4,2,5,6,5,6,2,7,5,6,5,4,5,3,5,5,4,4,3,1,4,3,5,5,4,5,5,7,6,5,5,4,5,7,5,4,5,6,7,6,3,2,5,4,5,3,206
56,976,2,59,4,2,4,3,6,5,6,7,6,4,3,5,6,5,6,3,7,3,5,1,4,3,5,7,5,1,3,4,2,1,6,7,6,7,4,6,5,4,5,4,6,5,6,6,6,2,205
57,1809,1,74,2,2,2,4,3,2,6,7,7,6,2,2,3,7,7,1,7,1,7,1,1,1,1,7,6,1,1,1,1,1,1,1,1,7,1,1,1,4,3,2,7,7,7,7,6,2,154
58,2585,1,32,4,2,4,6,5,4,3,7,5,7,6,4,5,4,3,5,2,4,1,1,5,4,6,4,2,6,7,5,5,4,6,7,5,7,6,6,5,5,7,6,4,2,4,6,4,1,205
59,3403,2,24,4,2,5,5,5,5,2,7,6,5,6,6,6,2,5,6,3,5,3,1,5,6,6,6,6,6,7,6,6,6,5,5,5,7,6,5,5,6,5,6,6,6,5,6,6,2,229
61,212,2,30,4,1,5,4,3,4,3,7,5,4,3,2,3,4,4,3,4,5,3,1,4,5,6,5,2,4,3,4,5,4,2,3,3,7,4,3,2,5,6,5,5,2,4,3,5,4,172
62,232,2,29,4,2,5,5,5,5,3,7,5,5,5,5,5,4,5,3,4,3,5,1,3,3,4,7,6,3,4,3,3,3,5,5,5,7,4,5,4,5,5,5,3,4,4,3,5,3,191
65,353,1,37,4,2,2,6,4,2,6,7,2,6,6,6,3,5,2,2,2,2,2,1,2,2,4,4,2,2,2,3,2,2,5,2,2,7,4,6,2,2,6,6,2,2,2,4,2,2,147
66,299,1,38,3,2,3,6,7,6,2,7,3,5,6,7,5,2,5,4,2,1,3,1,3,1,2,4,4,3,4,2,3,1,6,5,5,7,3,5,6,5,4,5,3,2,3,6,5,2,174
67,313,1,31,4,2,5,4,6,5,6,7,6,5,3,4,3,2,5,2,5,2,6,1,3,1,4,5,3,2,1,3,5,1,5,5,5,7,5,5,5,4,5,5,3,5,6,6,2,2,180
68,383,2,31,4,2,5,6,6,6,7,7,5,6,6,7,5,5,7,3,6,3,5,1,2,2,3,4,4,5,4,5,5,3,5,6,5,7,4,3,5,5,6,5,4,5,6,5,5,3,212
69,237,2,28,4,2,5,6,6,4,3,7,4,4,5,6,4,2,5,6,4,5,2,1,5,6,6,7,6,5,6,5,5,3,1,2,3,7,4,6,5,6,7,6,4,3,4,5,6,3,205
71,247,2,27,4,2,5,6,7,6,2,7,6,5,7,6,5,1,2,3,1,5,2,1,6,7,6,3,2,6,5,7,6,5,2,1,1,7,5,6,7,6,5,7,2,3,1,6,7,2,198
72,307,2,30,5,2,2,2,2,2,3,7,3,1,2,1,7,1,1,1,1,1,1,1,1,1,4,5,1,5,4,4,3,3,5,5,5,7,4,4,4,4,4,4,4,4,4,7,4,2,141
75,213,2,31,4,2,5,4,4,2,3,7,4,5,3,3,4,3,4,2,3,5,2,1,6,5,6,6,5,5,4,4,3,3,4,3,4,7,4,5,5,6,4,4,3,5,5,6,4,3,183
76,307,2,35,4,2,6,6,7,5,6,7,5,6,6,7,6,5,6,5,6,6,7,1,6,5,5,6,5,6,5,6,7,6,5,6,5,7,6,5,6,6,5,6,7,6,5,6,5,2,248
77,335,1,37,3,2,3,4,6,5,3,7,2,4,3,2,5,3,6,4,5,2,1,1,4,2,4,3,2,5,4,3,2,1,5,6,7,7,6,5,7,3,2,3,6,7,6,5,4,3,178
78,211,1,30,4,1,5,5,6,5,4,7,5,6,6,4,4,6,5,5,1,1,4,1,4,4,4,5,1,5,5,1,1,4,1,3,3,7,5,5,4,5,5,6,4,4,5,5,4,5,185
79,305,2,26,4,2,1,4,3,2,6,7,2,5,3,2,6,7,6,1,1,1,5,1,3,2,2,4,1,3,2,3,2,1,1,5,6,7,3,6,4,6,6,5,4,6,6,6,4,2,163
80,291,1,47,4,2,7,6,5,6,7,7,6,5,6,7,6,2,7,6,2,6,3,1,5,6,5,6,5,7,6,5,6,3,4,5,6,7,6,5,6,7,6,5,7,2,6,7,6,5,239
83,199,1,44,4,2,4,5,6,4,4,7,5,6,7,6,6,3,5,2,2,4,3,1,2,2,5,3,1,3,4,5,5,3,6,6,7,7,3,4,4,6,7,6,5,4,6,6,5,2,197
84,206,1,31,5,2,2,5,6,4,7,7,3,5,2,3,6,5,3,2,2,3,1,1,3,2,2,5,3,3,4,4,6,2,5,3,4,7,5,6,5,3,5,5,2,3,2,6,3,2,167
85,314,1,38,5,2,5,4,5,6,5,7,6,5,6,5,5,6,4,2,4,3,5,1,4,4,4,5,4,4,4,4,5,4,3,3,4,7,4,4,3,4,3,3,3,3,3,4,6,5,188
87,238,2,32,5,1,3,6,5,5,3,7,4,5,4,3,5,4,5,3,2,4,3,1,3,3,4,5,4,5,5,5,4,4,3,4,4,7,3,3,4,6,6,6,4,4,4,6,4,3,185
88,232,1,51,4,2,5,6,5,5,3,7,5,6,5,7,5,4,6,5,2,4,2,1,3,2,3,3,1,5,4,6,7,4,3,2,3,7,1,4,4,6,5,6,4,3,5,4,3,3,184
89,231,2,31,4,2,3,2,3,3,5,7,3,2,4,5,3,4,4,3,2,3,2,1,3,2,4,3,3,5,4,6,7,6,3,3,4,7,3,4,3,4,5,4,3,3,4,5,3,2,162
90,225,2,30,3,2,4,6,6,6,2,7,5,6,6,5,6,2,5,3,5,2,6,1,2,2,2,6,1,2,1,3,5,2,6,6,5,7,5,5,3,6,6,6,5,5,5,6,6,3,194
92,753,2,26,4,1,4,5,5,4,4,7,4,6,6,5,6,3,5,3,2,2,1,1,2,2,3,3,2,4,4,6,5,2,4,4,3,7,2,1,3,5,5,6,4,5,4,6,5,2,172
94,300,1,36,3,2,3,5,4,5,4,7,2,6,6,7,5,4,4,1,2,2,1,1,2,1,3,3,1,5,4,6,6,4,4,5,4,7,5,4,2,6,7,6,3,4,4,6,5,2,178
