index,totalseconds,Gender,Age,Edu,Marriage,Group,SCD,RD1,RD2,RD3,RD4,RD5,T1,POS1,POS2,POS3,POS4,POS5,POS6,T2,LS1,LS2,LS3,LS4,LS5,totalvalue
5,113,1,37,4,2,-1,5,7,6,4,6,5,6,3,2,4,6,4,2,1,5,3,3,2,2,76
6,126,1,33,4,2,-1,6,4,3,6,4,3,6,3,2,4,3,4,2,1,3,4,5,2,1,66
7,72,2,25,4,1,-1,2,4,5,4,3,2,6,5,4,5,6,5,4,1,5,4,5,5,3,78
10,97,2,29,4,2,-1,1,4,1,4,6,2,6,4,3,4,2,5,4,1,5,5,5,5,6,73
11,120,2,30,4,2,-1,1,1,1,2,3,3,6,7,4,4,5,4,6,1,7,7,7,6,3,78
12,130,2,32,4,2,-1,4,6,5,3,4,5,6,5,4,5,4,5,4,1,4,5,6,7,6,89
13,82,2,29,4,2,-1,1,3,1,2,2,1,6,2,1,2,1,2,2,1,7,6,6,7,6,59
14,201,1,23,4,1,-1,1,2,1,3,4,2,6,3,2,4,5,2,5,1,5,6,7,7,5,71
15,45,1,30,4,2,-1,4,3,5,4,5,4,6,4,5,5,5,4,5,1,5,5,4,5,4,83
16,152,2,34,3,2,-1,2,5,6,6,7,6,6,2,3,3,5,3,3,1,1,2,1,1,1,64
17,128,2,32,4,2,-1,4,5,6,5,6,5,6,5,4,5,6,5,4,1,4,4,3,4,2,84
18,74,1,29,4,2,-1,1,2,2,1,2,2,6,3,2,5,2,1,3,1,7,6,6,7,6,65
19,65,1,33,5,2,-1,5,7,6,7,6,7,6,7,5,6,7,7,6,1,6,7,7,5,7,115
20,262,2,45,3,2,-1,6,7,1,7,1,7,6,6,6,6,7,6,7,1,7,7,6,6,7,107
21,144,2,32,4,2,-1,2,5,6,5,6,5,6,7,3,6,5,5,6,1,3,3,3,6,3,86
22,91,2,26,4,2,-1,3,5,3,3,4,3,6,4,2,2,2,3,1,1,5,5,6,6,5,69
23,116,1,34,4,2,-1,2,2,3,2,1,3,6,5,5,5,6,5,6,1,6,5,7,5,5,80
24,123,2,28,3,1,-1,2,2,1,1,6,1,6,1,1,2,1,4,2,1,4,3,4,5,1,48
25,72,2,36,3,2,-1,4,3,5,6,3,3,6,3,4,4,6,3,2,1,2,5,5,6,3,74
26,210,2,45,3,2,-1,2,3,4,2,4,3,6,4,5,5,3,4,5,1,5,6,7,6,6,81
27,99,2,35,4,2,-1,4,4,5,6,4,6,6,3,4,6,2,2,3,1,5,5,4,5,3,78
28,165,2,53,2,2,-1,3,6,5,3,6,5,6,3,3,2,4,1,1,1,4,2,2,4,1,62
29,114,1,24,4,1,-1,2,2,1,2,1,1,6,4,4,4,3,3,3,1,4,4,5,3,3,56
30,70,1,26,4,2,-1,2,3,4,5,3,3,6,4,4,4,5,5,4,1,3,4,3,3,3,69
31,131,2,36,4,2,-1,1,3,3,2,4,3,6,2,3,5,6,7,6,1,5,5,6,5,4,77
32,133,2,28,4,2,-1,2,5,4,4,5,4,6,2,4,3,5,6,4,1,3,3,2,3,1,67
33,76,2,33,4,2,-1,3,3,2,3,3,3,6,5,5,5,4,5,4,1,4,5,4,4,3,72
34,80,1,36,4,2,-1,4,6,5,7,6,7,6,6,5,4,4,3,5,1,5,4,4,5,6,93
35,89,2,39,4,2,-1,2,2,1,2,4,1,6,4,3,4,5,3,5,1,5,4,5,6,3,66
36,152,2,46,3,2,-1,2,5,3,2,3,2,6,5,5,6,5,3,7,1,3,3,5,5,5,76
37,95,1,45,4,2,-1,3,5,4,3,3,4,6,6,5,6,5,4,5,1,5,6,6,7,3,87
38,97,1,35,4,2,-1,2,2,1,2,2,3,6,6,5,6,4,3,5,1,6,5,6,5,5,75
39,405,2,43,4,2,-1,3,4,4,5,5,4,6,3,4,3,5,4,3,1,4,3,4,4,2,71
40,127,2,45,3,2,-1,3,5,4,3,5,3,6,4,3,4,5,4,4,1,5,4,3,4,3,73
41,132,2,27,3,2,-1,5,3,5,2,6,5,6,4,3,5,6,2,4,1,2,4,5,5,2,75
42,134,2,24,4,1,-1,1,2,1,3,4,2,6,5,4,5,3,1,7,1,4,5,7,5,4,70
43,201,2,23,4,1,-1,2,5,3,1,5,4,6,2,1,3,4,1,3,1,3,4,4,1,2,55
44,213,1,38,4,2,-1,4,6,2,1,4,3,6,5,3,6,4,4,5,1,5,4,6,4,3,76
45,222,1,45,3,2,-1,2,5,4,6,6,3,6,4,3,6,7,3,5,1,5,5,3,5,2,81
46,185,2,27,4,1,-1,3,6,5,5,7,7,6,1,1,1,6,4,1,1,1,2,2,2,1,62
47,127,2,47,3,2,-1,2,1,3,2,1,2,6,2,5,6,5,3,5,1,5,6,6,7,5,73
48,132,2,31,4,2,-1,3,5,5,4,5,5,6,3,3,2,5,2,3,1,2,2,2,5,2,65
49,168,2,26,4,1,-1,2,5,4,6,6,5,6,4,4,3,6,5,5,1,4,3,3,2,1,75
50,220,1,30,5,2,-1,4,5,4,4,5,4,6,3,3,3,4,3,3,1,4,4,3,3,2,68
51,208,1,23,4,1,-1,2,2,1,5,4,2,6,6,6,7,7,6,5,1,6,6,7,5,3,87
52,824,1,32,5,2,-1,1,4,2,2,4,2,6,3,3,4,3,1,5,1,4,5,5,4,2,61
55,92,1,39,4,2,-1,1,1,2,1,2,1,6,5,5,6,5,3,6,1,6,6,7,7,6,77
57,108,2,26,4,2,-1,2,3,2,2,3,2,6,5,5,5,6,4,5,1,5,6,7,5,3,77
59,166,2,33,4,2,-1,2,3,1,1,3,2,6,5,4,6,5,3,5,1,5,6,6,4,1,69
60,170,1,36,3,2,-1,3,4,1,2,4,2,6,1,1,2,1,2,2,1,3,4,4,3,1,47
61,112,1,26,4,1,-1,1,2,1,3,5,2,6,2,2,5,6,4,6,1,5,5,6,7,3,72
62,244,1,59,3,2,-1,3,5,4,4,5,3,6,5,3,4,4,3,5,1,4,3,5,3,2,72
63,56,1,30,4,1,-1,3,4,3,5,3,3,6,5,4,3,4,3,2,1,4,5,4,6,4,72
64,141,2,31,3,2,-1,3,5,4,4,6,7,6,2,2,1,5,3,3,1,2,3,3,2,4,66
65,164,2,29,4,2,-1,2,3,6,5,4,2,6,5,4,5,4,3,5,1,3,4,5,4,3,74
66,79,2,25,3,2,-1,5,4,5,6,5,6,6,2,3,4,3,2,2,1,2,1,1,1,1,60
67,130,1,28,3,2,-1,1,4,2,3,3,2,6,5,4,5,3,3,5,1,3,6,5,4,1,66
68,154,2,35,3,2,-1,3,2,1,3,2,2,6,4,3,5,4,3,4,1,5,4,5,5,3,65
69,194,1,28,4,2,-1,2,3,3,2,3,2,6,3,2,3,4,2,4,1,5,6,7,7,6,71
70,138,2,33,4,2,-1,1,5,3,4,5,7,6,1,2,3,6,3,3,1,2,4,3,4,1,64
