"","ASC","OSC","SCO","RD","POS","LS","UI","UC","DI","DC"
"ASC1",0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC2",0.877,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC3",0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC4",0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC5",0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSC1",NA,0.858,NA,NA,NA,NA,NA,NA,NA,NA
"OSC2",NA,0.858,NA,NA,NA,NA,NA,NA,NA,NA
"OSC3",NA,0.854,NA,NA,NA,NA,NA,NA,NA,NA
"OSC4",NA,0.855,NA,NA,NA,NA,NA,NA,NA,NA
"OSC5",NA,0.856,NA,NA,NA,NA,NA,NA,NA,NA
"OSC6",NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA
"RD1",NA,NA,NA,0.855,NA,NA,NA,NA,NA,NA
"RD2",NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA
"RD3",NA,NA,NA,0.875,NA,NA,NA,NA,NA,NA
"RD4",NA,NA,NA,0.879,NA,NA,NA,NA,NA,NA
"RD5",NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA
"POS1",NA,NA,NA,NA,0.847,NA,NA,NA,NA,NA
"POS2",NA,NA,NA,NA,0.885,NA,NA,NA,NA,NA
"POS3",NA,NA,NA,NA,0.886,NA,NA,NA,NA,NA
"POS4",NA,NA,NA,NA,0.845,NA,NA,NA,NA,NA
"POS5",NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA
"LS1",NA,NA,NA,NA,NA,0.802,NA,NA,NA,NA
"LS2",NA,NA,NA,NA,NA,0.792,NA,NA,NA,NA
"LS3",NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA
"LS4",NA,NA,NA,NA,NA,0.779,NA,NA,NA,NA
"LS5",NA,NA,NA,NA,NA,0.764,NA,NA,NA,NA
"UI1",NA,NA,NA,NA,NA,NA,0.787,NA,NA,NA
"UI2",NA,NA,NA,NA,NA,NA,0.817,NA,NA,NA
"UI3",NA,NA,NA,NA,NA,NA,0.811,NA,NA,NA
"UC1",NA,NA,NA,NA,NA,NA,NA,0.848,NA,NA
"UC2",NA,NA,NA,NA,NA,NA,NA,0.864,NA,NA
"UC3",NA,NA,NA,NA,NA,NA,NA,0.826,NA,NA
"DI1",NA,NA,NA,NA,NA,NA,NA,NA,0.788,NA
"DI2",NA,NA,NA,NA,NA,NA,NA,NA,0.791,NA
"DI3",NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA
"DC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.869
"DC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.858
"DC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873
