"","ASC","OSC","SCO","RD","POS","LS","UI","UC","DI","DC"
"ASC1",0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC2",0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC3",0.679,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC4",0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSC1",NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA
"OSC2",NA,0.488,NA,NA,NA,NA,NA,NA,NA,NA
"OSC3",NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA
"OSC4",NA,0.661,NA,NA,NA,NA,NA,NA,NA,NA
"OSC5",NA,0.565,NA,NA,NA,NA,NA,NA,NA,NA
"RD1",NA,NA,NA,0.773,NA,NA,NA,NA,NA,NA
"RD2",NA,NA,NA,-0.202,NA,NA,NA,NA,NA,NA
"RD3",NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA
"RD4",NA,NA,NA,-0.024,NA,NA,NA,NA,NA,NA
"RD5",NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA
"POS1",NA,NA,NA,NA,0.839,NA,NA,NA,NA,NA
"POS2",NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA
"POS3",NA,NA,NA,NA,0.781,NA,NA,NA,NA,NA
"POS4",NA,NA,NA,NA,0.483,NA,NA,NA,NA,NA
"POS5",NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA
"LS1",NA,NA,NA,NA,NA,0.811,NA,NA,NA,NA
"LS2",NA,NA,NA,NA,NA,0.847,NA,NA,NA,NA
"LS3",NA,NA,NA,NA,NA,0.818,NA,NA,NA,NA
"LS4",NA,NA,NA,NA,NA,0.735,NA,NA,NA,NA
"LS5",NA,NA,NA,NA,NA,0.759,NA,NA,NA,NA
"UI1",NA,NA,NA,NA,NA,NA,0.741,NA,NA,NA
"UI2",NA,NA,NA,NA,NA,NA,0.834,NA,NA,NA
"UI3",NA,NA,NA,NA,NA,NA,0.817,NA,NA,NA
"UC1",NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA
"UC2",NA,NA,NA,NA,NA,NA,NA,0.797,NA,NA
"UC3",NA,NA,NA,NA,NA,NA,NA,0.863,NA,NA
"DI1",NA,NA,NA,NA,NA,NA,NA,NA,0.814,NA
"DI2",NA,NA,NA,NA,NA,NA,NA,NA,0.906,NA
"DI3",NA,NA,NA,NA,NA,NA,NA,NA,0.865,NA
"DC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728
"DC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755
"DC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773
