"","ASC","OSC","SCO","RD","POS"
"ASC1",0.789,NA,NA,NA,NA
"ASC2",0.701,NA,NA,NA,NA
"ASC3",0.619,NA,NA,NA,NA
"ASC4",0.747,NA,NA,NA,NA
"ASC5",0.832,NA,NA,NA,NA
"OSC1",NA,0.812,NA,NA,NA
"OSC2",NA,0.75,NA,NA,NA
"OSC3",NA,0.625,NA,NA,NA
"OSC4",NA,0.603,NA,NA,NA
"OSC5",NA,0.468,NA,NA,NA
"OSC6",NA,0.748,NA,NA,NA
"RD1",NA,NA,NA,0.715,NA
"RD2",NA,NA,NA,0.777,NA
"RD3",NA,NA,NA,0.823,NA
"RD4",NA,NA,NA,0.712,NA
"RD5",NA,NA,NA,0.823,NA
"POS1",NA,NA,NA,NA,0.847
"POS2",NA,NA,NA,NA,0.874
"POS3",NA,NA,NA,NA,0.697
"POS4",NA,NA,NA,NA,0.636
"POS5",NA,NA,NA,NA,0.724
