"","ASC","OSC","SCO","RD","POS","LS"
"ASC1",0.718,NA,NA,NA,NA,NA
"ASC2",0.693,NA,NA,NA,NA,NA
"ASC3",0.604,NA,NA,NA,NA,NA
"ASC4",0.798,NA,NA,NA,NA,NA
"ASC5",0.868,NA,NA,NA,NA,NA
"OSC1",NA,0.846,NA,NA,NA,NA
"OSC2",NA,0.721,NA,NA,NA,NA
"OSC3",NA,0.655,NA,NA,NA,NA
"OSC4",NA,0.558,NA,NA,NA,NA
"OSC6",NA,0.639,NA,NA,NA,NA
"OSC7",NA,0.791,NA,NA,NA,NA
"RD1",NA,NA,NA,0.739,NA,NA
"RD2",NA,NA,NA,0.776,NA,NA
"RD3",NA,NA,NA,0.714,NA,NA
"RD4",NA,NA,NA,0.804,NA,NA
"RD5",NA,NA,NA,0.827,NA,NA
"POS1",NA,NA,NA,NA,0.741,NA
"POS2",NA,NA,NA,NA,0.749,NA
"POS3",NA,NA,NA,NA,0.862,NA
"POS5",NA,NA,NA,NA,0.471,NA
"POS6",NA,NA,NA,NA,0.813,NA
"LS1",NA,NA,NA,NA,NA,0.87
"LS2",NA,NA,NA,NA,NA,0.849
"LS3",NA,NA,NA,NA,NA,0.895
"LS4",NA,NA,NA,NA,NA,0.754
"LS5",NA,NA,NA,NA,NA,0.629
