"","ASC","OSC","SCO","RD","POS","LS","UI","UC","DI","DC"
"ASC1",0.663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC2",0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC3",0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC4",0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASC5",0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSC1",NA,0.758,NA,NA,NA,NA,NA,NA,NA,NA
"OSC2",NA,0.732,NA,NA,NA,NA,NA,NA,NA,NA
"OSC3",NA,0.612,NA,NA,NA,NA,NA,NA,NA,NA
"OSC4",NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA
"OSC5",NA,0.536,NA,NA,NA,NA,NA,NA,NA,NA
"OSC7",NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA
"RD1",NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA
"RD2",NA,NA,NA,0.773,NA,NA,NA,NA,NA,NA
"RD3",NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA
"RD4",NA,NA,NA,0.796,NA,NA,NA,NA,NA,NA
"RD5",NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA
"POS1",NA,NA,NA,NA,0.846,NA,NA,NA,NA,NA
"POS2",NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA
"POS3",NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA
"POS5",NA,NA,NA,NA,0.662,NA,NA,NA,NA,NA
"POS6",NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA
"LS1",NA,NA,NA,NA,NA,0.851,NA,NA,NA,NA
"LS2",NA,NA,NA,NA,NA,0.815,NA,NA,NA,NA
"LS3",NA,NA,NA,NA,NA,0.856,NA,NA,NA,NA
"LS4",NA,NA,NA,NA,NA,0.703,NA,NA,NA,NA
"LS5",NA,NA,NA,NA,NA,0.654,NA,NA,NA,NA
"UI1",NA,NA,NA,NA,NA,NA,0.695,NA,NA,NA
"UI2",NA,NA,NA,NA,NA,NA,0.729,NA,NA,NA
"UI3",NA,NA,NA,NA,NA,NA,0.728,NA,NA,NA
"UC1",NA,NA,NA,NA,NA,NA,NA,0.714,NA,NA
"UC2",NA,NA,NA,NA,NA,NA,NA,0.858,NA,NA
"UC3",NA,NA,NA,NA,NA,NA,NA,0.721,NA,NA
"DI1",NA,NA,NA,NA,NA,NA,NA,NA,0.839,NA
"DI2",NA,NA,NA,NA,NA,NA,NA,NA,0.913,NA
"DI3",NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA
"DC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756
"DC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862
"DC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762
