"","Gender","Age","Edu","Marriage","Blue","ASC","OSC","RD","POS","LS","UI","UC","DI","DC","SCD","USC","DSC"
"Gender",1,-0.167672941245726,-0.00790672944831465,0.00928808418717689,-0.113053649649807,-0.0307124467187197,0.00794960017969043,0.108979077978457,-0.0856040015910059,-0.0315355090407156,0.00354869575840328,0.0811465678585662,0.044556859496653,0.021836218777581,0.0212410524267306,0.0300820492164762,0.00809776039738643
"Age",-0.167672941245726,1,-0.133927326737627,0.507886321934866,-0.00571218573179056,0.0118571700339709,0.0133170330311719,-0.11206439020951,0.0987935684696894,0.145185778958261,0.106106227923039,-0.154509646938627,-0.0644744604519995,0.0367472801599805,-0.0181011320164937,0.000404103793533458,-0.0318779663764046
"Edu",-0.00790672944831465,-0.133927326737627,1,0.0307381267139549,0.0308155529089132,-5.9177909491745e-05,-0.00561004409360817,-0.069841136444629,0.0320182222376112,0.105393676906692,0.026905629031074,-0.0777766128362896,-0.049287950037531,-0.0907778074729401,0.0786797299067094,0.0249018572330383,-0.00160718179746943
"Marriage",0.00928808418717689,0.507886321934866,0.0307381267139549,1,0.0300045928434741,0.0164736422712696,0.0342555867462703,-0.0540637577179055,0.071436720473402,0.106427175950971,0.0579859323252558,-0.0719335986064543,-0.0643413842659897,0.0695280622247708,0.038849536404226,-0.0168053912170504,0.0497648589506156
"Blue",-0.113053649649807,-0.00571218573179056,0.0308155529089132,0.0300045928434741,1,0.106516603524868,0.157697571504304,-0.0470619579946907,0.109944712980305,0.160024261516776,0.166149014619895,0.0589131785811894,0.09023196872175,0.0867961249367852,0.0774149013581899,0.0590091642487512,0.00543471665516374
"ASC",-0.0307124467187197,0.0118571700339709,-5.9177909491745e-05,0.0164736422712696,0.106516603524868,1,0.763624117201559,0.173708401620639,0.304067518470932,0.146157020252016,0.181698046983817,0.239399665947407,0.286607464704389,0.109299990787267,0.171150205033718,0.384656806237544,-0.0313723068618008
"OSC",0.00794960017969043,0.0133170330311719,-0.00561004409360817,0.0342555867462703,0.157697571504304,0.763624117201559,1,0.186443103491897,0.315295408066545,0.149819069138252,0.244895303805273,0.225711705386445,0.24295477775159,0.140273158993641,0.200762841865146,0.408562127535506,-0.0515841683762879
"RD",0.108979077978457,-0.11206439020951,-0.069841136444629,-0.0540637577179055,-0.0470619579946907,0.173708401620639,0.186443103491897,1,-0.177180715358112,-0.547045029098466,-0.339466097949824,0.513565370253351,0.382259743943701,0.124252332757281,-0.183621020508868,-0.0630915086943058,0.393276834164698
"POS",-0.0856040015910059,0.0987935684696894,0.0320182222376112,0.071436720473402,0.109944712980305,0.304067518470932,0.315295408066545,-0.177180715358112,1,0.519090277528194,0.23629532119633,-0.00832011457013792,-0.0724750297520559,0.188055454816023,0.0863267963152156,0.22397921857078,-0.0600889668820691
"LS",-0.0315355090407156,0.145185778958261,0.105393676906692,0.106427175950971,0.160024261516776,0.146157020252016,0.149819069138252,-0.547045029098466,0.519090277528194,1,0.41819330173468,-0.26782855006635,-0.214092108477612,-0.00449478543332878,0.198369544345515,0.191787235814619,-0.239356832321314
"UI",0.00354869575840328,0.106106227923039,0.026905629031074,0.0579859323252558,0.166149014619895,0.181698046983817,0.244895303805273,-0.339466097949824,0.23629532119633,0.41819330173468,1,-0.239173072989891,-0.0294264541043465,0.0896859531953652,0.357933908077701,0.341473649022717,-0.371252904407693
"UC",0.0811465678585662,-0.154509646938627,-0.0777766128362896,-0.0719335986064543,0.0589131785811894,0.239399665947407,0.225711705386445,0.513565370253351,-0.00832011457013792,-0.26782855006635,-0.239173072989891,1,0.402626157025877,0.0267145660497951,-0.0866771004041608,0.0887886385888487,0.227594912669822
"DI",0.044556859496653,-0.0644744604519995,-0.049287950037531,-0.0643413842659897,0.09023196872175,0.286607464704389,0.24295477775159,0.382259743943701,-0.0724750297520559,-0.214092108477612,-0.0294264541043465,0.402626157025877,1,0.204553575361816,0.0362334742893256,0.0829924409786496,0.164452558315518
"DC",0.021836218777581,0.0367472801599805,-0.0907778074729401,0.0695280622247708,0.0867961249367852,0.109299990787267,0.140273158993641,0.124252332757281,0.188055454816023,-0.00449478543332878,0.0896859531953652,0.0267145660497951,0.204553575361816,1,-0.0866076054948153,-0.0495785453507221,0.176329371656221
"SCD",0.0212410524267306,-0.0181011320164937,0.0786797299067094,0.038849536404226,0.0774149013581899,0.171150205033718,0.200762841865146,-0.183621020508868,0.0863267963152156,0.198369544345515,0.357933908077701,-0.0866771004041608,0.0362334742893256,-0.0866076054948153,1,0.487983128544838,-0.495101303152172
"USC",0.0300820492164762,0.000404103793533458,0.0249018572330383,-0.0168053912170504,0.0590091642487512,0.384656806237544,0.408562127535506,-0.0630915086943058,0.22397921857078,0.191787235814619,0.341473649022717,0.0887886385888487,0.0829924409786496,-0.0495785453507221,0.487983128544838,1,-0.419549323031781
"DSC",0.00809776039738643,-0.0318779663764046,-0.00160718179746943,0.0497648589506156,0.00543471665516374,-0.0313723068618008,-0.0515841683762879,0.393276834164698,-0.0600889668820691,-0.239356832321314,-0.371252904407693,0.227594912669822,0.164452558315518,0.176329371656221,-0.495101303152172,-0.419549323031781,1
